source,target,notes
Jax,Jacqueline,Abbreviated Jacqueline entry
Jacqui,Jacqueline,Preferred canonical form
Jacquie,Jacqueline,Preferred canonical form
Jackie,Jacqueline,Preferred canonical form
Dave,David,Common short form
Andy,Andrew,Common short form
Alec,Alexander,Common short form
Alec,Aleksander,Common short form
Alex,Alexander,Common short form
Alex,Aleksander,Common short form
Alistair,Alistair,Common short form
Becky,Rebecca,Common short form
Carole,Carol,Canonical spelling
Chris,Christopher,Common short form
Graeme,Graham,Canonical spelling
Jo,Joanne,Common short form
Jon,John,Canonical spelling for club records
Jon,Jonathan,Common short form
Kat,Katherine,Common short form
Kate,Katherine,Common short form
Katharine,Katherine,Canonical spelling
Kathryn,Katherine,Canonical spelling
Catherine,Katherine,Canonical spelling
Liz,Elizabeth,Common short form
Liza,Elizabeth,Common short form
Lynn,Lynne,Canonical spelling
Lynne,Lynn,Canonical spelling
Maew,Mae,Canonical spelling
Matt,Matthew,Common short form
Mike,Michael,Common short form
Mo,Maureen,Common short form
Pete,Peter,Common short form
Roni,Ronnie,Canonical spelling
Ronnie,Veronica,Canonical full name
Sam,Samuel,Common short form
Sam,Samantha,Common short form
Sue,Susan,Common short form
Susie,Susan,Common short form
Suzanne,Susan,Canonical family grouping
Tim,Timothy,Common short form
Tom,Thomas,Common short form
Trish,Patricia,Common short form
Val,Valerie,Common short form
Vicky,Victoria,Common short form
Vicki,Victoria,Canonical spelling
